	gene	bigstage
0	Gm5111	1DN
1	Il2ra	1DN
2	Hes1	1DN
3	Klf2	6CD4sp
4	Tcrg-C1	1DN
5	Ms4a4b	6CD4sp
6	Tcrg-C2	1DN
7	Nkg7	7CD8sp
8	Shisa5	6CD4sp
9	Ifi27l2a	6CD4sp
10	Myl10	1DN
11	Tcrg-C4	1DN
12	Hells	3DPbla
13	Ccnd2	6CD4sp
14	Timm8a1	2preDP
15	Srm	2preDP
16	Tyms	3DPbla
17	Ccne2	3DPbla
18	Hist1h1b	3DPbla
19	Cd52	6CD4sp
20	Ctla2a	1DN
21	Ung	3DPbla
22	Esco2	3DPbla
23	Rrm2	3DPbla
24	Nusap1	3DPbla
25	H2-K1	6CD4sp
26	Hist1h2ae	3DPbla
27	Pclaf	3DPbla
28	Fbxo5	3DPbla
29	Spc25	3DPbla
30	Pbk	3DPbla
31	Mxd3	3DPbla
32	Tesc	6CD4sp
33	Prc1	3DPbla
34	Gnl3	2preDP
35	Dhfr	3DPbla
36	Tmsb10	6CD4sp
37	Odc1	2preDP
38	Top2a	3DPbla
39	Hist1h2ap	3DPbla
40	Dctpp1	2preDP
41	Eif5a	2preDP
42	Slbp	3DPbla
43	Cd8b1	4DPre
44	Ccna2	3DPbla
45	B2m	6CD4sp
46	Ccr7	6CD4sp
47	Pcna	3DPbla
48	Spc25	3DPbla
49	Tmsb10	5DPsel
50	Itm2a	5DPsel
51	Pcna	3DPbla
52	Ifitm2	1DN
53	Plac8	1DN
54	Asf1b	3DPbla
55	Neil3	3DPbla
56	Tcf19	3DPbla
57	Mif	2preDP
58	Mis18bp1	3DPbla
59	H2-D1	6CD4sp
60	Prc1	3DPbla
61	Cdc25b	3DPbla
62	Slbp	3DPbla
63	Ccna2	3DPbla
64	Cdc20	3DPbla
65	Hells	2preDP
66	Cdca3	3DPbla
67	Hmmr	3DPbla
68	Npm1	2preDP
69	Apex1	2preDP
70	Hist1h2ae	3DPbla
71	Tmsb4x	6CD4sp
72	Hist1h2af	3DPbla
73	Nusap1	3DPbla
74	Tubb2b	4DPre
75	Hspd1	2preDP
76	Spc24	3DPbla
77	Runx3	7CD8sp
78	Cdca3	3DPbla
79	Ranbp1	2preDP
80	Aurkb	3DPbla
81	Gzma	2preDP
82	Gimap4	6CD4sp
83	Cenpf	3DPbla
84	Ccnb1	3DPbla
85	Cdkn2c	3DPbla
86	Cenpf	3DPbla
87	Cd53	6CD4sp
88	Tk1	3DPbla
89	Cdca8	3DPbla
90	Dtl	3DPbla
91	Gar1	2preDP
92	E2f8	3DPbla
93	Gmnn	3DPbla
94	Mxd3	3DPbla
95	Ctsw	7CD8sp
96	Rfc3	3DPbla
97	Clspn	3DPbla
98	Tuba1c	3DPbla
99	Snhg4	2preDP
